"성별","연도","교육","지역","월급"
2,1945,4,1,NA
1,1948,3,1,172
1,1942,7,1,100
1,1962,6,1,268
2,1963,5,1,140
2,2003,5,1,NA
1,1927,4,1,NA
2,1934,4,1,NA
2,1940,3,2,27
2,1970,5,1,NA
2,1992,4,1,NA
1,1940,4,1,NA
2,1941,2,1,NA
1,1962,6,1,NA
1,1978,7,1,267
2,1975,7,1,217
2,2004,5,1,NA
2,2008,4,1,NA
1,1941,5,1,NA
2,1942,3,1,100
1,1964,3,1,NA
1,1975,7,1,NA
2,1961,4,1,117
1,1961,4,1,383
2,1986,6,1,283
2,1962,5,1,150
2,1985,7,1,NA
1,1992,5,1,220
1,1952,5,1,310
2,1961,4,2,NA
2,1982,6,1,NA
1,1984,7,1,NA
2,2020,1,1,NA
1,1971,7,7,350
2,1945,5,7,NA
1,1943,3,1,NA
1,1972,7,1,NA
2,1974,6,1,655
2,2006,4,1,NA
2,2006,4,1,NA
2,1954,4,1,272
2,1941,3,1,NA
1,1972,7,1,387
2,1973,7,1,417
1,2004,5,1,NA
2,1936,3,1,NA
1,1968,5,2,260
2,1940,2,2,NA
2,1982,5,2,40
1,1976,5,2,310
1,2010,3,2,NA
2,2012,3,2,NA
2,1937,3,1,NA
1,1959,4,1,290
2,1967,5,1,160
2,1995,5,1,NA
2,1998,5,1,180
1,1955,4,1,165
2,1958,5,1,NA
1,1982,6,2,244
1,1968,5,1,760
2,1970,5,1,250
1,1994,5,1,NA
1,1999,7,1,NA
1,1973,8,1,910
2,1975,7,1,NA
1,2004,5,1,NA
2,2007,4,1,NA
1,1950,5,5,249
2,1956,5,5,214
1,1930,4,1,NA
2,1938,3,1,NA
2,1962,4,1,NA
2,1991,6,1,220
2,1959,7,1,NA
2,1989,8,1,220
2,1995,6,1,220
2,1997,7,1,90
2,1982,5,5,281
2,1985,5,5,281
2,1957,5,5,25
1,1975,5,5,386
1,1947,7,1,NA
2,1956,5,1,NA
1,1980,7,1,667
2,1984,7,1,850
1,1954,4,1,NA
2,1960,4,1,NA
1,1978,6,1,530
2,1983,6,1,NA
1,1981,6,1,300
2,1946,5,2,NA
1,1965,5,1,NA
2,1968,5,1,NA
2,1998,5,1,130
2,2001,5,1,NA
1,1958,5,1,300
2,1959,5,1,NA
1,1988,6,1,NA
1,1960,4,1,250
2,1960,3,1,NA
2,1989,6,1,180
1,1987,7,2,310
2,1986,5,2,180
1,2013,3,2,NA
2,2017,1,2,NA
1,1961,3,2,NA
2,1992,7,2,30
2,1996,7,2,142
2,1933,3,2,NA
1,1967,5,1,190
2,1994,7,1,120
2,1941,3,1,NA
1,1936,4,1,NA
2,1940,3,1,NA
1,1957,4,1,310
2,1960,3,1,NA
1,1983,6,2,250
1,1950,3,2,60
2,1953,3,2,60
1,1959,5,1,NA
2,1961,5,1,NA
2,1990,7,1,273
1,1954,6,1,250
2,1955,5,1,20
2,1981,7,1,542
2,1989,6,1,285
1,1971,4,1,NA
2,1977,5,1,NA
2,2000,6,1,130
1,2002,6,1,NA
1,2004,5,1,NA
2,2014,3,1,NA
2,1939,2,1,NA
2,1954,4,1,72
1,1978,6,2,505
2,1982,6,2,NA
2,2014,3,2,NA
1,2016,1,2,NA
1,1942,4,1,NA
2,1949,3,1,NA
1,1995,5,1,175
2,1980,7,1,NA
1,1980,7,1,520
2,2016,1,1,NA
2,1943,4,1,NA
1,1973,5,1,292
1,1960,5,1,NA
2,1966,5,1,110
1,1994,7,1,240
2,1943,2,1,35
2,1971,7,1,NA
2,1998,7,1,200
2,1999,7,1,30
1,1958,5,1,208
2,1958,4,1,90
1,1966,5,1,414
2,1968,7,1,189
1,1959,5,1,220
2,1959,5,1,180
1,1960,7,1,267
2,1960,5,1,140
1,1988,6,1,292
2,1960,3,1,NA
1,1957,3,1,70
1,1987,6,1,230
2,1943,5,1,109
2,1971,5,1,NA
1,1959,4,1,NA
2,1965,3,1,NA
1,1987,7,1,185
2,1988,7,1,253
1,1938,5,1,NA
2,1939,3,1,NA
1,1964,4,1,248
1,1969,7,1,293
